;;2019_msci;2020_msci;2021_msci;2019_compound;2020_compound;2021_compound
1;FORD MOTOR COMPANY;4.10;3.50;3.30;0.2716240481;0.264891439;0.2811394495
2;STANDARD MOTOR PRODUCTS, INC.;4.20;4.50;4.30;0.2234107527;0.2236223844;0.2224150617
3;TESLA, INC.;5.10;5.30;5.20;0.335521286;0.3296762637;0.3143246114
7;MCDONALD'S CORPORATION;4.20;5.20;5.10;0.3071118467;0.2913789157;0.3137129909
8;Beyond Meat Inc;5.00;5.00;4.40;0.2255327456;0.2204506098;0.2083542406
9;KELLOGG COMPANY;6.20;6.30;6.2;0.3060389662;0.2928014787;0.2860310078
10;THE HERSHEY COMPANY;5.20;4.30;4.10;0.3834675141;0.3769323077;0.3606816176
11;CAMPBELL SOUP COMPANY;5.40;5.20;5.00;0.21501175;0.230145614;0.2320538667
15;BANK OF AMERICA CORPORATION;4.50;5.00;4.40;0.6355711864;0.6024767857;0.5960054545
16;CITIGROUP INC.;4.50;5.00;5.30;0.2877312573;0.2801681731;0.2665032819
17;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;4.30;4.30;4.30;0.2253734134;0.2774744834;0.2950590864
18;MORGAN STANLEY GROUP INC.;5.20;5.40;5.40;0.2148550336;0.2318;0.2235314092
19;SVB FINANCIAL GROUP;5.30;5.40;4.30;0.3172468571;0.4641143082;0.3215345098
22;CHEVRON CORPORATION;3.50;5.10;4.50;0.1798987013;0.1849357934;0.2159191781
23;GENERAL ELECTRIC CAPITAL CORPORATION;5.20;5.20;2.40;0.2587603361;0.2577244742;0.2738800384
24;CONOCOPHILLIPS COMPANY;6.00;5.00;5.00;0.1157474638;0.1596140127;0.1806108571
