,sentence,label,score
15,   indicate by check mark whether the registrant has filed a report on and attestation to its management s assessment of the effectiveness of its internal control over financial reporting under section  b  of the sarbanes oxley act   u,Governance,0.5410043001174927
16,  b   by the registered public accounting firm that prepared or issued its audit report,Governance,0.6302762627601624
33, with about   employees worldwide  the company is committed to helping build a better world  where every person is free to move and pursue their dreams,Social,0.9875686764717102
34, the company s ford  plan for growth and value creation combines existing strengths  new capabilities  and always on relationships with customers to enrich experiences for customers and deepen their loyalty,Social,0.5922800302505493
39, the corporate governance information on our website includes our corporate governance principles  code of ethics for senior financial personnel  code of ethics for the board of directors  code of corporate conduct for all employees  and the charters for each of the committees of our board of directors,Governance,0.8715723156929016
47, our integrated sustainability and financial report  which details our performance and progress toward our sustainability and corporate responsibility goals  is available at  ,Social,0.9562612771987916
90,  palladium   energy  e,Environmental,0.9815053343772888
91,  natural gas   and plastics resins  e,Environmental,0.7213930487632751
93,  as we transition to a greater mix of electric vehicles  we expect to increase our reliance on lithium  cobalt  nickel  graphite  and manganese  among other materials  for batteries,Environmental,0.978793740272522
99,  we expect to continue building this portfolio as we actively pursue innovation in every part of our business,Social,0.7498314380645752
107,  safety recalls  emission recalls  and other product campaigns   and for customer satisfaction actions,Social,0.945998191833496
127,  eu  d  ,Social,0.6917107701301575
179, these include expenses related to setting and directing global policy  providing oversight and stewardship  and promoting the company s interests,Social,0.897776186466217
182, governmental standards many governmental standards and regulations relating to safety  fuel economy  emissions control  noise control  vehicle recycling  substances of concern  vehicle damage  and theft prevention are applicable to new motor vehicles  engines  and equipment,Environmental,0.6313526630401611
183, in addition  manufacturing and other automotive assembly facilities are subject to stringent standards regulating air emissions  water discharges  and the handling and disposal of hazardous substances,Environmental,0.9762545824050904
184, the most significant of the standards and regulations affecting us are discussed below  vehicle emissions control u,Environmental,0.9846854209899902
185, requirements   federal and california tailpipe emission standards,Environmental,0.986749231815338
186, environmental protection agency   epa   and the california air resources board   carb   have established motor vehicle tailpipe and evaporative emissions standards that become increasingly stringent over time,Environmental,0.99225252866745
187, seventeen states have adopted california s light duty standards  four states have adopted california s heavy duty standards  and other states are expected to join,Social,0.8490489721298218
188, both federal and california regulations also require motor vehicles to be equipped with on board diagnostic   obd   systems that monitor emission related systems and components,Environmental,0.9661574363708496
190, canada accepts epa certification,Environmental,0.4706747233867645
191, compliance with emissions standards  obd requirements  and related regulations can be challenging and can drive increased product development costs  warranty costs  and vehicle recalls,Environmental,0.9747151136398317
192, carb has adopted new emissions regulations applicable to model year  heavy duty engines  as well as extended heavy duty warranty requirements beginning with the  model year  and epa has proposed more stringent heavy duty standards beginning with the  model year,Environmental,0.9751234650611876
193, these rules include more stringent emissions standards  as well as new requirements affecting durability testing  warranty  and obd,Environmental,0.991570234298706
194, carb has also adopted new light duty emissions standards applicable to  model year vehicles  including a more stringent emissions standard and other new emissions requirements,Environmental,0.9904672503471376
196, compliance with automobile emissions standards depends in part on the widespread availability of high quality and consistent automotive fuels that the vehicles were designed to use,Environmental,0.9917551279067992
197, legislative  regulatory  and judicial developments related to fuel quality at both the national and state levels could affect vehicle manufacturers  warranty costs as well as their ability to comply with vehicle emissions standards,Environmental,0.9803506135940552
198, business  continued  the california vehicle emissions program also includes requirements for manufacturers to produce and deliver for sale zero emission vehicles   zevs  ,Environmental,0.9907435774803162
199, california s light duty vehicle zev regulation  which uses a system based on credits that can be banked and carried forward  mandates annual increases in the production and sale of battery electric  fuel cell  and plug in hybrid vehicles,Environmental,0.8806076049804688
201, in august   california approved a sweeping revision to the zev regulation,Social,0.6943275928497314
